original_text,label
"There is manuscript evidence that Austen continued to work on these pieces as late as the period 1809 â '' 11 , and that her niece and nephew , Anna and James Edward Austen , made further additions as late as 1814 .",1
"In a remarkable comparative analysis , Mandaean scholar Säve-Söderberg demonstrated that Mani 's Psalms of Thomas were closely related to Mandaean texts .",1
"Before Persephone was released to Hermes , who had been sent to retrieve her , Hades tricked her into eating pomegranate seeds , -LRB- six or three according to the telling -RRB- which forced her to return to the underworld for a period each year .",1
"Cogeneration plants are commonly found in district heating systems of cities , hospitals , prisons , oil refineries , paper mills , wastewater treatment plants , thermal enhanced oil recovery wells and industrial plants with large heating needs .",1
"Geneva -LRB- , ; , ; , ; ; -RRB- is the second-most-populous city in Switzerland -LRB- after Zürich -RRB- and is the most populous city of Romandie -LRB- the French-speaking part of Switzerland -RRB- .",1
"When Japan earned another race on the F1 schedule ten years later , it went to Suzuka instead .",1
"This marked the first motorcycle racing event at the facility since its first month of operation , in August 1909 .",1
Ka La Ku'oko ' a -LRB- Hawaiian Independence Day -RRB- : The Kingdom of Hawai`i is officially recognized by the United Kingdom of Great Britain and Ireland and July Monarchy France as an independent nation .,1
"A scythe -LRB- Oxford English Dictionary , Oxford University Press , 1933 : Scythe -RRB- is an agricultural hand tool for mowing grass , reaping crops , or reaping people -LRB- i.e. the Grim Reaper -RRB- .",1
Toshihide Saito is a Japanese football -LRB- soccer -RRB- defender .,1
"Many still refer to 25 , 50 and 75 paise as 4 , 8 and 12 annas respectively , not unlike the usage of '' bit '' in American English for â",1
"In Holland they were called Stadspijpers , in Germany Stadtpfeifer and in Italy Pifferi .",1
"Plays and comic puppet theater loosely based on this legend were popular throughout Germany in the 16th century , often reducing Faust and Mephistopheles to figures of vulgar fun .",1
"Directed by Jon Avnet and written by Fannie Flagg and Carol Sobieski , it stars Kathy Bates , Jessica Tandy , Mary-Louise Parker and Mary Stuart Masterson .",1
Beaumont-Pied-de-B Å '' uf is a commune in the Mayenne department in north-western France .,1
"In September 1869 , O'Reilly escaped and was rescued by an American ship .",1
"The Algerian government cut the electricity supply to at least large parts of the capital Algiers -LRB- and allegedly to large parts of the country -RRB- , to prevent the program from being seen .",1
"Castleton is a honeypot village in the Derbyshire Peak District , in England .",1
"Sensing of both the external and internal environments at the cellular level relies on signal transduction . Many disease processes , such as diabetes , heart disease , autoimmunity , and cancer arise from defects in signal transduction pathways , further highlighting the critical importance of signal transduction to biology , as well as medicine .",1
The width of the slide rule is quoted in terms of the nominal width of the scales .,1
"May 27 , 1199 Friday -- John Lackland -LRB- 1167 -- 1216 -RRB- became King of England upon the death of his older brother Richard the Lion Hearted .",1
A very wide covered footbridge joins all platforms at their western ends but does not provide entry to or egress from the station .,1
Its widespread presence in many seeds and fruits may serve to stimulate the digestive tract into expelling the seeds .,1
"Country Music Television , or CMT , is an American country music-oriented cable television network .",1
"Free content , or free information , is any kind of functional work , artwork , or other creative content , which meets the free content definition , having no significant legal restriction relative to people 's freedom to use , distribute copies , modify , and to distribute derived works of the content .",1
Sea surface temperature -LRB- SST -RRB- is the water temperature close to the surface .,1
They take up oxygen in the lungs or gills and release it while squeezing through the body 's capillaries .,1
He has subsequently written a further nine plays .,1
"Lemon meringue pie is a type of baked pie , usually served for dessert , typically prepared with a bottom pie crust , but with no upper crust .",1
"A veritable reference book to Thunderbolt 's many adventures , Patch provides the perfect guide for the TV star in his attempts at real-life heroics .",1
"On July 29 , 2008 the Palace announced that King George Tupou V would relinquish much of his power and would surrender his role in day-to-day governmental affairs to the Prime Minister .",1
"F. W. D. Brie , 1906 .",1
"Simon Boccanegra is an opera with a prologue and three acts by Giuseppe Verdi to an Italian libretto by Francesco Maria Piave , based on the play SimÃ n Bocanegra -LRB- 1843 -RRB- by Antonio GarcÃ a GutiÃ rrez .",1
"On June 6 , 2000 , ten days before the movie was released , at the SuperComm 2000 tradeshow , the movie was projected simultaneously at the trade show in Atlanta , Georgia as well as a screen in Los Angeles , California .",1
"The Bushehr Nuclear Power Plant -LRB- -RRB- is a nuclear power plant in Iran south-east of the city of Bushehr , between the fishing villages of Halileh and Bandargeh along the Persian Gulf .",1
"In 2002 , Ortiz hit .272 for Minnesota , with 20 home runs and 75 RBIs . The Twins advanced to the American League Championship Series that year , where they lost to the Anaheim Angels .",1
"As a result the paper 's coverage changed radically from an uncritical and rather reverential showbiz-oriented paper to something intended to be smarter , hipper , more cynical and funnier than any mainstream British music paper had previously been -LRB- an approach influenced mainly by writers such as Tom Wolfe and Lester Bangs -RRB- .",1
The King -LRB- who appears to be chronically dissatisfied with his 10-cm-tall son 's small size -RRB- charges the Prince to go to Earth with a '' katamari '' -- a magical ball that allows anything smaller than it to stick to it and make it grow -- and collect enough material for him to recreate the stars and constellations .,1
"Marklohe is a municipality in the district of Nienburg , in Lower Saxony , Germany .",1
"Chronic obstructive pulmonary disease -LRB- COPD -RRB- , interstitial lung disease -LRB- ILD -RRB-",1
"Glenn Thomas Jacobs -LRB- born April 26 , 1967 in Madrid , Spain -RRB- is an American professional wrestler and actor better known by his ring name , Kane and is currently working for World Wrestling Entertainment on its SmackDown brand .",1
"Sudan is situated in northern Africa , bordering the Red Sea and it has a coastline of 853 km along the Red Sea .",1
"Shades of red and orange may sometimes appear , either replacing or mixing with the yellow according to subspecies .",1
"Also known as Hentchak , Henchak , Social-Democratic Hentchakists , Huntchakians , Hnchakian , Henchags , its name is taken from its newspaper Hunchak , meaning '' Clarion '' or '' Bell '' in English , and is taken by party members to represent '' a call or awakening , for enlightenment and freedom . ''",1
"Guitars are traditionally constructed of various woods and strung with animal gut or , more recently , with either nylon or steel strings .",1
"The player takes on the role of an engineer named Isaac Clarke , who battles a polymorphic , virus-like , alien infestation which turns humans into grotesque alien monsters called '' Necromorphs '' , on board a stricken interstellar mining ship named the USG Ishimura .",1
"Sergio PÃ rez Mendoza -LRB- born January 26 , 1990 in Guadalajara , Jalisco -RRB- , also known as '' Checo '' PÃ rez , is a Mexican racing driver .",1

A senior NASA administrator also stated in 2007 that NASA aims '' to put a man on Mars by 2037 '' .,0
"The .700 Nitro Express -LRB- made in the 1980 's and 1990 's -RRB- and the new brass manufacturers made even more powerful elephant guns such as the .585 Nyati by Ross Seyfried , .577 Tyrannosaur by Colonel Art Alphin and .585 Gehringer by Karl Gehringer to be made by wildcatters .",0
It is about 4 kilometres in diameter and appears gray similar to C-type asteroids .,0
It was developed by Insomniac Games and published by Sony in 2003 .,0
"He also worked with Timothy Leary to promote futurist ideas of space migration , life extension , and intelligence enhancement .",0
Individual metropolitan districts range from 4 people\/km in Liverpool to only 500 people\/km in Doncaster .2001,0
References,0
"A Duke Nukem 3D version has been sold for Xbox Live since September 24 , 2008 .",0
"However , it is becoming replaced as a method of executing criminals in the United States by lethal injection .",0
There are hand gestures in both Hindu and Buddhist iconography .,0
"If it is necessary to use colors , try to choose colors that will not be confusing to a person with red-green color blindness -LRB- the most common type -RRB- . Colors that are okay to use include orange and violet .",0
